brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
10.0,2.0,3.0,1.0,2.0,157,1.0,1,0,8,0,512,1.0,6.0,8.0,1,0,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,2.0,18.0,13.0,38490.0
4.0,2.0,1.0,1.0,0.0,283,0.0,1,0,16,0,512,0.0,16.0,8.0,1,0,1,1,1,0,1,0,0,3.0,49.61666666666666,1920.0,1200.0,1,0,0.0,5.0,5.0,61990.0
13.0,2.0,3.0,1.0,2.0,157,1.0,0,0,16,0,512,1.0,12.0,10.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,2.0,19.0,12.0,37990.0
15.0,2.0,2.0,1.0,0.0,236,0.0,1,0,32,0,1024,2.0,24.0,14.0,1,0,1,1,1,1,0,1,0,3.0,99.0,3200.0,2000.0,0,0,2.0,21.0,13.0,148990.0
10.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,12.0,8.0,1,1,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,2.0,19.0,12.0,71960.0
11.0,2.0,1.0,1.0,2.0,162,1.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,0,1,0,0,2.0,60.0,1920.0,1200.0,0,0,2.0,19.0,12.0,46990.0
25.0,2.0,0.0,1.0,1.0,141,1.0,1,0,8,0,256,1.0,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,2.0,18.0,11.0,25990.0
2.0,2.0,3.0,1.0,1.0,141,1.0,0,0,16,0,512,2.0,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,12.0,49990.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,16,1024,256,2.0,24.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,20.0,11.0,63990.0
16.0,2.0,2.0,2.0,1.0,141,1.0,1,0,16,0,512,2.0,24.0,8.0,1,0,1,1,1,0,0,1,0,3.0,52.4,1920.0,1080.0,0,0,2.0,20.0,11.0,64990.0
