price,brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen
38490.0,HP,Windows,Performance,1.0,small,157,16:9,1,0,8,0,512,Integrated,6.0,8.0,1,0,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,Intel,i3,13.0
61990.0,Asus,Windows,Everyday Use,1.0,large,283,16:10,1,0,16,0,512,AMD,16.0,8.0,1,0,1,1,1,0,1,0,0,3.0,49.61666666666666,1920.0,1200.0,1,0,AMD,7,5.0
37990.0,Infinix,Windows,Performance,1.0,small,157,16:9,0,0,16,0,512,Integrated,12.0,10.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,Intel,i5,12.0
148990.0,Lenovo,Windows,Gaming,1.0,large,236,16:10,1,0,32,0,1024,NVIDIA,24.0,14.0,1,0,1,1,1,1,0,1,0,3.0,99.0,3200.0,2000.0,0,0,Intel,i9,13.0
71960.0,HP,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,12.0,8.0,1,1,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,Intel,i5,12.0
46990.0,Honor,Windows,Everyday Use,1.0,small,162,16:9,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,0,1,0,0,2.0,60.0,1920.0,1200.0,0,0,Intel,i5,12.0
25990.0,Wings,Windows,Business,1.0,medium,141,16:9,1,0,8,0,256,Integrated,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,Intel,i3,11.0
49990.0,Acer,Windows,Performance,1.0,medium,141,16:9,0,0,16,0,512,NVIDIA,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,12.0
63990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,16,1024,256,NVIDIA,24.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i7,11.0
64990.0,MSI,Windows,Gaming,2.0,medium,141,16:9,1,0,16,0,512,NVIDIA,24.0,8.0,1,0,1,1,1,0,0,1,0,3.0,52.4,1920.0,1080.0,0,0,Intel,i7,11.0
37516.0,Dell,Windows,Everyday Use,1.0,medium,141,16:9,1,0,8,0,512,Integrated,10.0,6.0,1,1,1,0,1,0,0,0,1,3.0,41.0,1920.0,1080.0,1,0,Intel,i3,12.0
53981.0,Asus,Windows,Gaming,1.0,large,142,16:10,1,0,16,0,512,AMD,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1200.0,1,0,AMD,5,5.0
22980.0,HP,Windows,Everyday Use,1.0,small,112,16:9,1,0,8,1024,0,AMD,12.0,6.0,1,1,1,0,1,0,0,1,0,2.0,39.840625,1366.0,768.0,0,0,AMD,3045B,7.0
46990.0,Xiaomi,Windows,Everyday Use,1.0,medium,242,16:10,0,0,16,0,512,Integrated,8.0,4.0,1,0,1,1,1,1,1,0,0,2.0,39.840625,3200.0,2000.0,1,0,Intel,i5,11.0
56990.0,Lenovo,Windows,Everyday Use,1.0,small,141,16:9,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,0,0,0,0,3.0,56.6,1920.0,1080.0,0,0,Intel,i5,12.0
29990.0,Infinix,Windows,Performance,1.0,small,157,16:9,0,0,8,0,512,Integrated,10.0,6.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,Intel,i3,12.0
89990.0,Asus,Windows,Gaming,1.0,large,142,16:10,1,0,16,0,512,NVIDIA,20.0,10.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1200.0,0,0,Intel,i5,13.0
55990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,18.0,12.0,1,0,1,1,1,0,1,0,0,3.0,42.0,1920.0,1080.0,1,0,Intel,i5,12.0
27990.0,Acer,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,6.0,2.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,Intel,i3,11.0
24990.0,Acer,Windows,Everyday Use,1.0,small,157,16:9,1,0,8,0,256,Integrated,6.0,2.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,Intel,i3,11.0
32990.0,Acer,Windows,Everyday Use,1.0,small,135,16:9,0,0,8,0,512,Integrated,8.0,4.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,Intel,i5,11.0
36850.0,HP,Windows,Everyday Use,1.0,medium,100,16:9,1,0,8,0,512,AMD,16.0,6.0,1,1,1,0,1,0,0,1,0,3.0,41.0,1366.0,768.0,0,0,AMD,5,5.0
36990.0,Lenovo,Windows,Performance,1.0,medium,147,16:9,1,0,8,0,512,AMD,8.0,6.0,1,0,1,0,1,0,0,1,0,2.0,38.0,1920.0,1080.0,1,0,AMD,5,5.0
67990.0,Dell,Windows,Gaming,1.0,medium,141,16:9,1,0,8,0,512,NVIDIA,18.0,12.0,1,0,1,1,1,0,0,1,0,3.0,41.0,1920.0,1080.0,1,0,Intel,i5,12.0
18990.0,Lenovo,Windows,Everyday Use,1.0,small,157,16:9,1,0,8,0,256,AMD,4.0,2.0,1,1,1,0,1,0,0,0,0,2.0,39.840625,1920.0,1080.0,1,0,AMD,3045B,7.0
35980.0,Dell,Windows,Everyday Use,1.0,medium,147,16:9,0,0,8,0,512,Integrated,6.0,2.0,1,1,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,1,0,Intel,i3,11.0
80990.0,HP,Windows,Gaming,1.0,large,137,16:9,1,0,16,0,512,NVIDIA,16.0,8.0,1,0,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,AMD,7,7.0
53999.0,HP,Windows,Everyday Use,1.0,medium,141,16:9,1,0,8,0,512,Integrated,12.0,10.0,1,1,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,1,Intel,i5,12.0
58989.0,Lenovo,Windows,Everyday Use,1.0,large,141,16:10,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,0,0,0,0,3.0,56.6,1920.0,1080.0,0,0,Intel,i5,12.0
126990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,16,0,1024,NVIDIA,24.0,14.0,1,0,1,1,1,0,0,1,0,3.0,53.5,1920.0,1080.0,1,0,Intel,i9,13.0
42999.0,Acer,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,Integrated,8.0,4.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,Intel,i5,11.0
84499.0,Dell,Windows,Everyday Use,1.0,small,141,16:10,1,0,16,0,1024,Integrated,18.0,12.0,1,1,1,1,1,0,1,0,0,4.0,54.0,1920.0,1200.0,0,0,Intel,i7,13.0
30990.0,Infinix,Windows,Everyday Use,1.0,small,157,16:9,0,0,8,0,256,Integrated,6.0,2.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,Intel,i3,11.0
74990.0,HP,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,Integrated,12.0,12.0,1,0,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,Intel,i5,13.0
62750.0,HP,Windows,Gaming,1.0,large,137,16:9,1,0,16,0,512,NVIDIA,12.0,6.0,1,1,1,1,1,0,0,1,1,4.0,70.0,1920.0,1080.0,0,0,Intel,i5,11.0
65990.0,Asus,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1080.0,2,0,AMD,5,5.0
11990.0,Primebook,Others,Everyday Use,1.0,small,135,16:9,0,0,4,64,0,Integrated,12.0,8.0,0,0,1,0,1,0,0,0,0,2.0,39.840625,1366.0,768.0,0,0,Mediatek,MTK8788,1.0
49990.0,Acer,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,12.0
72990.0,Dell,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,18.0,12.0,1,0,1,1,1,0,0,1,0,3.0,56.0,1920.0,1080.0,1,0,Intel,i5,12.0
29990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,256,Integrated,6.0,2.0,1,0,1,1,1,0,1,0,0,2.0,37.0,1920.0,1080.0,2,0,Intel,i3,11.0
144990.0,Acer,Windows,Performance,1.0,large,142,16:9,1,0,16,0,1024,NVIDIA,36.0,24.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1200.0,0,0,Intel,i9,13.0
109990.0,Asus,Windows,Performance,1.0,small,243,16:10,1,0,16,0,1024,NVIDIA,24.0,14.0,1,0,1,1,1,0,1,0,0,3.0,63.0,2880.0,1800.0,0,0,Intel,i9,13.0
87990.0,HP,Windows,Gaming,1.0,medium,137,16:9,1,0,16,0,1024,NVIDIA,24.0,10.0,1,1,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,Intel,i7,12.0
88990.0,Asus,Windows,Gaming,1.0,large,170,16:9,1,0,16,0,512,NVIDIA,16.0,8.0,1,0,1,1,1,0,0,1,0,4.0,56.0,1920.0,1080.0,0,0,AMD,7,6.0
56990.0,HP,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,AMD,16.0,6.0,1,1,1,1,1,0,0,1,0,3.0,52.5,1920.0,1080.0,0,0,AMD,5,5.0
48990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,16,0,512,NVIDIA,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,11.0
93050.0,Lenovo,Windows,Gaming,1.0,medium,184,16:10,1,0,16,0,512,NVIDIA,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,60.0,1920.0,1080.0,0,0,Intel,i5,12.0
89999.0,Lenovo,Windows,Gaming,1.0,medium,184,16:10,1,0,8,0,512,NVIDIA,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,60.0,1920.0,1080.0,0,0,Intel,i5,13.0
13990.0,Walker,Windows,Performance,1.0,medium,156,16:9,1,0,4,0,256,Integrated,4.0,2.0,1,0,1,0,1,0,0,0,0,2.0,18.5,1920.0,1080.0,1,0,Intel,N4020,3.0
76990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,NVIDIA,18.0,12.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,1,0,Intel,i5,12.0
23990.0,Lenovo,Windows,Performance,1.0,medium,100,16:9,1,0,8,0,512,AMD,2.0,2.0,1,1,1,1,1,0,0,0,0,2.0,39.840625,1366.0,768.0,1,0,AMD,7120U,7.0
