name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,pixel,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,processor,core,hdmi,mcr,wifi,bluetooth,usb,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity
Asus ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),209990.0,Asus,89,4.65,Windows 11,Gaming,14.2\u2009mmSlim, 1.18\u2009kgLight,1 Year Warranty,13.4\u2009inchesSmall,2560\u2009x\u20091600\u2009pixelsAverage,~ 225\u2009PPIHigh,16:10  Aspect Ratio,,Touch Screen,16\u2009GB LPDDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4060 GraphicsAverage,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),,,No WiFi,Bluetooth v5.2,1 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,,,,4 Cell BatteryGood,56\u2009Wh
Lenovo IdeaPad 3 15IAU7 82RK00LWIN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),54990.0,Lenovo,111,4.65,Windows 11,Everyday Use,,,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics  Graphics,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 1235U, 10 Cores (2P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.1,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,,,,,45\u2009Wh BatteryGood
Asus Vivobook 15X OLED M3504YA-LK541WS Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),63890.0,Asus,52,4.25,Windows 11,Performance,17.9\u2009mmSlim, 1.7\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,16\u2009MB Cache,12 Threads,7th Gen AMD Ryzen 5 7530U, Hexa Core,HDMI,,WiFi,Bluetooth,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,,63\u2009Wh BatteryGood
Asus ROG Zephyrus G16 2023 GU603VV-N4044WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),179990.0,Asus,90,4.2,Windows 11,Gaming,22.3\u2009mmThick, 2\u2009kgAverage,1 Year Warranty,16\u2009inchesAverage,2560\u2009x\u20091600\u2009pixelsAverage,~ 189\u2009PPIAverage,16:10  Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4060 GraphicsAverage,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell BatteryGood,90\u2009Wh
Asus ROG Zephyrus G16 2023 GU603VU-N4051WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),169990.0,Asus,77,4.25,Windows 11,Gaming,22.3\u2009mmThick, 2\u2009kgAverage,1 Year Warranty,16\u2009inchesAverage,2560\u2009x\u20091600\u2009pixelsAverage,~ 189\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4050 GraphicsAverage,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell Battery,
Dell Inspiron 5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),70490.0,Dell,75,4.55,Windows 11,Gaming,26.9\u2009mmThick, 2.57\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:09 Aspect Ratio,Anti Glare,,8\u2009GB DDR5 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 3050 GraphicsAverage,18\u2009MB Cache,16 Threads,12th Gen Intel Core i5 12500H, 12 Cores (4P + 8E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,56\u2009Wh
Asus Vivobook 15 X1502ZA-EJ323WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),40810.0,Asus,68,4.55,Windows 11,Performance,,,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:09 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics,10\u2009MB Cache,8 Threads,12th Gen Intel Core i3 1215U , Hexa Core (2P + 4E),HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell Battery,
Asus Vivobook Pro 15 OLED K6502VU-MA541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),122990.0,Asus,59,4.5,Windows 11,Everyday Use,19.9\u2009mmAverage, 1.8\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,2880\u2009x\u20091620\u2009pixelsGood,~ 141\u2009PPIAverage,16:09 Aspect Ratio,Anti Glare,,16\u2009GB DDR5 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 4050 GraphicsAverage,18\u2009MB Cache,16 Threads,13th Gen Intel Core i5 13500H, 12 Cores (4P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,Ethernet (LAN),,,3 Cell BatteryGood,70\u2009Wh
Dell Alienware m16 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),220490.0,Dell,101,4.7,Windows 11,Gaming,25\u2009mmThick, 3.25\u2009kgHeaviest,1 Year Warranty,16\u2009inchesAverage,2560\u2009x\u20091600\u2009pixelsAverage,~ 216\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GEFORCE RTX 4060 GraphicsAverage,30\u2009MB Cache,24 Threads,13th Gen Intel Core i7 13700HX, 16 Cores (8P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),Display Port,,6 Cell BatteryGood,86\u2009Wh
Huawei MateBook 16s 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),185990.0,Huawei,74,4.75,Windows 11,Business,17.8\u2009mmAverage, 1.99\u2009kgAverage,1 Year Warranty,16\u2009inchesAverage,2520\u2009x\u20091680\u2009pixelsGood,~ 189\u2009PPIAverage,3:2 Aspect Ratio,Anti Glare,Touch Screen,16\u2009GB RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,18\u2009MB Cache,16 Threads,13th Gen Intel Core i5 13500H, 12 Cores (4P + 8E),HDMI,,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,,,1.0 MP Camera,,84\u2009Wh BatteryGood
