Unnamed: 0,price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,processor
53,35980.0,dell,Everyday Use,medium,1.0,medium,medium,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
54,80990.0,hp,Gaming,heavy,1.0,large,low,0,16,512,NVIDIA,8.0,1,1,high,AMD 7 7.0
55,53999.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,0,low,Intel i5 12.0
56,58989.0,lenovo,Everyday Use,medium,1.0,large,low,0,16,512,Integrated,8.0,1,1,high,Intel i5 12.0
57,126990.0,msi,Performance,heavy,2.0,medium,low,0,16,1024,NVIDIA,14.0,1,1,medium,Intel i9 13.0
58,42999.0,acer,Performance,medium,1.0,medium,low,0,16,512,Integrated,4.0,1,0,low,Intel i5 11.0
59,84499.0,dell,Everyday Use,medium,1.0,small,low,0,16,1024,Integrated,12.0,1,1,medium,Intel i7 13.0
60,30990.0,infinix,Everyday Use,lite,1.0,small,medium,0,8,256,Integrated,2.0,1,1,medium,Intel i3 11.0
61,74990.0,hp,Performance,medium,1.0,medium,low,0,16,512,Integrated,12.0,1,1,low,Intel i5 13.0
62,62750.0,hp,Gaming,heavy,1.0,large,low,0,16,512,NVIDIA,6.0,1,1,high,Intel i5 11.0
63,65990.0,asus,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,AMD 5 5.0
64,11990.0,others,Everyday Use,lite,1.0,small,low,0,4,0,Integrated,8.0,0,0,low,others
65,49990.0,acer,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,medium,Intel i5 12.0
66,72990.0,dell,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,high,Intel i5 12.0
67,29990.0,asus,Performance,medium,1.0,medium,low,0,8,256,Integrated,2.0,1,1,low,Intel i3 11.0
68,144990.0,acer,Performance,heavy,1.0,large,medium,0,16,1024,NVIDIA,24.0,1,1,very_high,Intel i9 13.0
69,109990.0,asus,Performance,lite,1.0,small,high,0,16,1024,NVIDIA,14.0,1,1,high,Intel i9 13.0
70,87990.0,hp,Gaming,heavy,1.0,medium,low,0,16,1024,NVIDIA,10.0,1,1,high,Intel i7 12.0
71,88990.0,asus,Gaming,heavy,1.0,large,high,0,16,512,NVIDIA,8.0,1,1,high,AMD 7 6.0
72,56990.0,hp,Gaming,heavy,1.0,medium,low,0,16,512,AMD,6.0,1,1,medium,AMD 5 5.0
73,48990.0,msi,Performance,medium,2.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,Intel i5 11.0
74,93050.0,lenovo,Gaming,heavy,1.0,medium,high,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
75,89999.0,lenovo,Gaming,medium,1.0,medium,high,0,8,512,NVIDIA,8.0,1,1,high,Intel i5 13.0
76,13990.0,others,Performance,medium,1.0,medium,medium,0,4,256,Integrated,2.0,1,0,low,Intel N4020 3.0
77,76990.0,asus,Performance,heavy,1.0,medium,low,0,8,512,NVIDIA,12.0,1,1,very_high,Intel i5 12.0
78,23990.0,lenovo,Performance,medium,1.0,medium,low,0,8,512,AMD,2.0,1,1,low,others
79,23990.0,infinix,Everyday Use,lite,1.0,small,medium,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
80,97989.0,acer,Gaming,heavy,1.0,medium,high,0,16,1024,NVIDIA,10.0,1,1,high,Intel i7 12.0
81,109990.0,asus,Performance,heavy,1.0,medium,low,0,16,512,NVIDIA,14.0,1,1,very_high,Intel i7 12.0
82,47741.0,asus,Performance,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,1,low,Intel i5 12.0
83,75990.0,asus,Performance,medium,1.0,medium,high,0,16,512,Integrated,12.0,1,1,high,Intel i5 13.0
84,59990.0,msi,Performance,heavy,1.0,medium,low,0,16,512,AMD,8.0,1,1,medium,AMD 7 5.0
85,126990.0,apple,Performance,medium,1.0,medium,high,0,8,256,Integrated,8.0,0,1,high,Apple M2 2.0
86,23990.0,infinix,Performance,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,1,low,others
87,69990.0,asus,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,AMD 7 5.0
88,33999.0,acer,Everyday Use,medium,1.0,medium,low,0,8,512,AMD,4.0,1,0,low,AMD 3 7.0
89,47990.0,acer,Gaming,medium,1.0,medium,low,0,12,512,Integrated,10.0,1,1,medium,Intel i5 12.0
90,59990.0,others,Everyday Use,lite,1.0,small,high,0,16,512,Integrated,8.0,1,1,medium,Intel i5 12.0
91,69990.0,acer,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
92,37990.0,infinix,Everyday Use,lite,1.0,small,medium,0,16,1024,Integrated,4.0,1,1,medium,Intel i5 11.0
93,184999.0,dell,Performance,medium,3.0,medium,medium,0,16,512,NVIDIA,6.0,0,1,very_high,others
94,177990.0,lenovo,Gaming,heavy,1.0,large,high,0,16,1024,NVIDIA,14.0,1,1,very_high,Intel i9 13.0
95,51487.0,dell,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,1,low,Intel i5 12.0
96,94990.0,asus,Gaming,heavy,1.0,large,medium,0,16,1024,NVIDIA,10.0,1,1,high,Intel i5 13.0
97,25990.0,others,Performance,lite,1.0,medium,medium,0,8,512,Integrated,4.0,1,0,low,others
98,47990.0,infinix,Performance,lite,1.0,small,medium,0,16,512,Integrated,10.0,1,1,medium,Intel i7 12.0
99,45990.0,msi,Performance,medium,2.0,medium,low,0,8,512,NVIDIA,6.0,1,1,medium,Intel i5 11.0
100,55990.0,msi,Performance,medium,2.0,medium,low,0,16,256,NVIDIA,6.0,1,1,medium,Intel i5 11.0
101,70500.0,asus,Everyday Use,lite,1.0,small,high,1,16,1024,AMD,8.0,1,1,high,AMD 7 5.0
102,65500.0,asus,Everyday Use,lite,1.0,small,high,1,16,1024,AMD,6.0,1,1,high,AMD 5 5.0
103,40500.0,lenovo,Performance,medium,1.0,medium,low,0,4,256,Integrated,4.0,1,0,medium,others
104,90000.0,lenovo,Business,lite,1.0,small,medium,0,16,512,AMD,8.0,1,0,medium,others
105,36990.0,msi,Performance,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,1,medium,Intel i5 11.0
106,29990.0,msi,Performance,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
107,62990.0,lenovo,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,6.0,1,1,high,others
108,40990.0,lenovo,Performance,medium,1.0,medium,medium,0,8,512,Integrated,6.0,1,0,low,Intel i3 12.0
109,34499.0,lenovo,Performance,medium,1.0,medium,low,0,8,512,AMD,4.0,1,1,low,AMD 5 7.0
110,38990.0,msi,Performance,lite,1.0,small,medium,0,16,512,Integrated,4.0,1,1,medium,Intel i5 11.0
111,85990.0,asus,Performance,heavy,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,very_high,Intel i5 12.0
112,66290.0,lenovo,Performance,medium,1.0,medium,low,0,8,512,AMD,4.0,1,1,low,AMD 5 7.0
113,67990.0,lenovo,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
114,42990.0,asus,Everyday Use,medium,1.0,small,medium,0,16,512,Integrated,2.0,1,0,low,Intel i3 11.0
115,54990.0,lenovo,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,6.0,1,1,high,others
116,52290.0,hp,Everyday Use,medium,1.0,medium,medium,0,8,512,AMD,6.0,1,1,low,AMD 5 5.0
117,109990.0,asus,Performance,medium,1.0,medium,high,0,16,1024,Integrated,14.0,1,1,high,Intel i9 13.0
118,48990.0,others,Everyday Use,medium,1.0,large,medium,0,16,512,Integrated,8.0,1,1,high,Intel i5 12.0
119,58990.0,asus,Performance,lite,1.0,small,high,0,16,512,Integrated,12.0,1,1,high,Intel i5 12.0
120,35990.0,msi,Performance,lite,1.0,small,medium,0,8,512,Integrated,4.0,1,1,medium,Intel i5 11.0
121,569990.0,msi,Gaming,heavy,2.0,large,very_high,0,64,4096,NVIDIA,24.0,1,1,very_high,Intel i9 13.0
122,34990.0,acer,Everyday Use,medium,1.0,medium,low,0,8,512,AMD,4.0,1,0,low,AMD 5 7.0
123,62990.0,acer,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,8.0,1,1,medium,Intel i5 13.0
124,322490.0,apple,Performance,heavy,1.0,large,very_high,0,32,1024,Integrated,12.0,1,1,very_high,Apple M2 2.0
125,69990.0,samsung,Business,lite,1.0,small,medium,0,8,512,Integrated,12.0,1,1,high,Intel i5 13.0
126,57990.0,lenovo,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,4.0,1,1,low,AMD 5 5.0
127,25999.0,hp,Everyday Use,lite,1.0,small,low,0,8,512,AMD,4.0,1,0,low,others
128,34990.0,others,Performance,lite,1.0,small,low,0,8,512,AMD,6.0,1,1,medium,AMD 5 5.0
129,30790.0,lenovo,Performance,medium,1.0,medium,medium,0,8,512,AMD,4.0,1,0,low,others
130,61990.0,asus,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,6.0,1,1,high,Intel i5 11.0
131,94990.0,apple,Performance,lite,1.0,small,high,0,8,256,Integrated,8.0,0,1,medium,Apple M2 2.0
132,63990.0,samsung,Performance,medium,1.0,medium,low,0,16,512,Integrated,10.0,0,1,medium,Intel i5 12.0
133,11990.0,asus,Performance,lite,1.0,small,low,0,4,0,Integrated,2.0,0,0,medium,Intel N4020 3.0
134,32990.0,others,Everyday Use,lite,1.0,small,medium,0,8,256,Integrated,2.0,0,1,low,Intel i3 11.0
135,44690.0,lenovo,Business,medium,1.0,medium,low,0,8,512,Integrated,5.0,0,1,medium,Intel i3 13.0
136,36990.0,acer,Performance,medium,1.0,medium,low,0,16,512,Integrated,2.0,1,0,low,Intel i3 11.0
137,94990.0,lenovo,Performance,lite,1.0,small,high,1,16,1024,AMD,8.0,1,1,high,AMD 7 7.0
138,74990.0,asus,Performance,lite,1.0,small,very_high,1,16,512,Integrated,12.0,1,1,high,Intel i5 12.0
139,57990.0,acer,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
140,399999.0,lenovo,Gaming,heavy,1.0,large,high,0,32,1024,NVIDIA,24.0,1,1,very_high,Intel i9 13.0
141,34990.0,lenovo,Performance,medium,1.0,medium,medium,0,8,512,Integrated,6.0,1,0,medium,Intel i3 12.0
142,56340.0,dell,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,0,medium,Intel i5 11.0
143,70990.0,asus,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,very_high,Intel i7 11.0
144,61990.0,dell,Everyday Use,medium,1.0,medium,low,0,16,512,Integrated,10.0,1,1,medium,Intel i5 12.0
145,48999.0,acer,Everyday Use,medium,1.0,medium,low,0,16,512,AMD,4.0,1,0,low,AMD 5 7.0
146,60990.0,lenovo,Everyday Use,lite,1.0,small,medium,0,16,1024,Integrated,8.0,1,1,high,Intel i5 12.0
147,27990.0,others,Business,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,1,low,Intel i3 11.0
148,54990.0,msi,Performance,medium,2.0,medium,low,0,16,256,NVIDIA,6.0,1,1,medium,Intel i5 11.0
149,23490.0,hp,Everyday Use,medium,1.0,medium,low,0,4,256,AMD,2.0,1,0,low,others
150,131254.0,hp,Gaming,heavy,1.0,large,low,0,16,1024,NVIDIA,8.0,1,1,low,AMD 7 7.0
151,51990.0,msi,Performance,medium,2.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,Intel i5 12.0
152,89999.0,hp,Gaming,heavy,1.0,large,low,0,16,1024,NVIDIA,8.0,1,1,high,AMD 7 7.0
153,44990.0,lenovo,Everyday Use,medium,1.0,medium,low,0,16,512,AMD,4.0,1,1,medium,AMD 5 7.0
154,62990.0,dell,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,0,low,Intel i5 13.0
155,114990.0,lenovo,Gaming,medium,1.0,medium,high,0,16,512,NVIDIA,6.0,1,1,high,Intel i7 13.0
156,36990.0,acer,Gaming,medium,1.0,medium,low,0,16,512,Integrated,6.0,1,1,medium,Intel i3 12.0
